"","sub","trial","cond","ex","dist","max_dev","ave_dev","area"
"400",23,8,"Typical","Klapperschlange",1100.7,80.2,22.4,48250
"401",23,9,"Typical","Kaninchen",1089.7,150.9,25.1,63849.4
"402",23,10,"Typical","Katze",1587.9,533.8,76.8,373781
"403",23,11,"Typical","Alligator",1133.6,98,19.4,56223.4
"404",23,12,"Typical","Chamaeleon",1034.8,173.6,26.3,103339.4
"405",23,13,"Typical","Hai",1096,160.7,62.6,94765.1
"406",23,14,"Typical","Hund",1174.9,40.5,3.6,16202.1
"407",23,15,"Typical","Pferd",1244.8,245.6,56.6,187170.6
"408",23,16,"Atypical","Pinguin",1005,124.9,28.7,67705
"409",23,17,"Atypical","Seeloewe",1311.8,340.1,57.9,145884.6
"410",23,18,"Typical","Spatz",1549.9,538.8,78.5,247148.5
"411",23,19,"Typical","Falke",2164.4,757,137.9,500468.6
"412",24,1,"Typical","Kaninchen",1062.1,35.2,11.7,21163
"413",24,2,"Atypical","Aal",1042.7,36,11.4,23152.8
"414",24,3,"Typical","Hai",1222.8,142.2,25.2,106285.2
"415",24,4,"Typical","Klapperschlange",1067.4,81.9,15.9,64832.1
"416",24,5,"Typical","Chamaeleon",1117.6,70.8,11.1,42744
"417",24,6,"Atypical","Schmetterling",1091.5,65.9,20.4,31269
"418",24,7,"Atypical","Fledermaus",1085.1,17.9,4.6,9729
"419",24,8,"Typical","Falke",1157.1,37.6,9.4,20162.1
"420",24,9,"Atypical","Seeloewe",2352.4,793.2,212.6,300554
"421",24,10,"Typical","Alligator",1183,101.9,24.7,43168.1
"422",24,11,"Typical","Spatz",1147.4,51.5,7.6,25177.2
"423",24,12,"Typical","Loewe",1045.3,40.4,7.1,18382.6
"424",24,13,"Typical","Hund",1136.4,118.8,25,80522
"425",24,14,"Typical","Lachs",1244.5,144.5,53.3,104056
"426",24,15,"Atypical","Pinguin",4172.1,295.2,64.1,204054.7
"427",24,16,"Atypical","Wal",1638.8,501.5,275.5,243283.2
"428",24,17,"Typical","Goldfisch",2294.2,977.5,141.7,549793
"429",24,18,"Typical","Katze",1083.5,52.5,8.6,33252.8
"430",24,19,"Typical","Pferd",1102.9,103.2,25.2,59703
"431",25,1,"Atypical","Wal",2380.9,908.9,326.1,504069.8
"432",25,2,"Typical","Hund",1513.6,240,57.5,133976.4
"433",25,4,"Typical","Lachs",1207.7,82.6,15,49318.7
"434",25,5,"Typical","Kaninchen",1275.8,188.1,84,132110
"435",25,6,"Typical","Klapperschlange",1316.4,36.2,10,24977.3
"436",25,7,"Typical","Falke",1253.4,121.3,19.8,58968.7
"437",25,8,"Atypical","Pinguin",3120.3,1228.9,302.1,498414.3
"438",25,9,"Typical","Alligator",2395.5,844.9,138.6,399649.8
"439",25,10,"Atypical","Schmetterling",1089.1,54.7,16.9,28846.2
"440",25,11,"Atypical","Aal",1295.4,48.2,5.6,21179.7
"441",25,12,"Typical","Spatz",1298,217.4,48.6,115777.7
"442",25,13,"Typical","Chamaeleon",2171.5,509.6,77.9,422608.7
"443",25,14,"Typical","Goldfisch",1145.5,46.4,7.5,26556.8
"444",25,16,"Typical","Loewe",1468.8,196.8,38.8,123116.5
"445",25,17,"Typical","Pferd",1695.3,498.2,105.7,282032.5
"446",25,18,"Typical","Katze",1231.3,112,22.6,88196.3
"447",25,19,"Typical","Hai",986.8,18.8,3.9,9149.3
"448",26,1,"Typical","Kaninchen",1271.3,50.8,7.4,37620
"449",26,2,"Atypical","Aal",1433,381.2,75.8,284091.7
"450",26,3,"Typical","Loewe",2386.1,954.3,281.6,592712
"451",26,5,"Typical","Hai",1427.2,265.1,54.8,123133.3
"452",26,6,"Typical","Pferd",1068.9,108.9,26.1,51537.7
"453",26,7,"Atypical","Schmetterling",1435.3,408.5,77.5,241486.6
"454",26,8,"Atypical","Seeloewe",2401.4,1011.3,369.2,521507.5
"455",26,9,"Atypical","Pinguin",2313.6,958.5,310.7,434557
"456",26,10,"Typical","Hund",2699,1143.9,325.2,600138.1
"457",26,11,"Typical","Spatz",2721.9,1215,345.1,730052.1
"458",26,12,"Typical","Katze",1144.9,28.3,7.7,17842
"459",26,13,"Typical","Chamaeleon",1144.7,71.3,21.9,41141.8
"460",26,14,"Typical","Goldfisch",1211.7,67.8,10.6,35654.6
"461",26,15,"Typical","Lachs",2427.1,834,173.8,208186.5
"462",26,16,"Typical","Falke",1140.5,86,12.8,37042.9
"463",26,17,"Atypical","Wal",1288.7,144.9,34.5,68793.3
"464",26,18,"Atypical","Fledermaus",1164.1,30.2,7.7,19765.9
"465",26,19,"Typical","Alligator",1399.8,72.5,14.6,63109.2
"466",27,1,"Typical","Hai",2336.9,991.1,291.8,534176
"467",27,2,"Atypical","Pinguin",1824.2,640.2,116.1,340709.1
"468",27,3,"Typical","Chamaeleon",1143.5,34.5,7.2,22500.5
"469",27,4,"Typical","Spatz",1056.6,27.5,5.1,13900.6
"470",27,5,"Typical","Kaninchen",1041.5,39.4,7,24297.4
"471",27,6,"Typical","Alligator",1048.8,15.5,2.6,7345.7
"472",27,7,"Typical","Goldfisch",1033.7,8.5,2.3,4511.5
"473",27,8,"Typical","Falke",1129.5,31.8,4.6,22333.6
"474",27,11,"Atypical","Schmetterling",3396,1009.7,178.2,27924.7
"475",27,12,"Atypical","Wal",2317.6,978.3,427.5,571611.7
"476",27,13,"Typical","Katze",1081.7,75.6,20.2,50264.5
"477",27,15,"Typical","Pferd",2354.5,992.2,299.4,608731
"478",27,16,"Typical","Lachs",1162.4,31.4,4.5,17459.8
"479",27,17,"Typical","Hund",2455.1,1051.4,253.6,568608.6
"480",27,18,"Typical","Loewe",2001.2,760.8,155.6,462134.3
"481",27,19,"Atypical","Aal",1114.1,35.2,2.7,17136.8
"482",28,1,"Atypical","Schmetterling",2577.7,1026.9,153.3,565182
"483",28,2,"Typical","Hund",1091.1,87.2,13.5,28423.9
"484",28,3,"Typical","Loewe",1124.7,44,4.6,27459
"485",28,5,"Typical","Goldfisch",1042.5,58.1,5.2,28182.4
"486",28,7,"Typical","Kaninchen",1080.6,71,9.3,32506
"487",28,8,"Atypical","Seeloewe",2252.8,665.2,184.8,240019.8
"488",28,9,"Atypical","Aal",1171,33.1,3.6,15078.7
"489",28,10,"Typical","Hai",1195.3,98,11.4,58373.9
"490",28,12,"Typical","Pferd",1631.9,540.8,82.1,319674.5
"491",28,13,"Typical","Falke",1070.1,39.8,3.9,19885.8
"492",28,14,"Typical","Alligator",3528,996.4,141.2,71793.1
"493",28,15,"Typical","Katze",1230.1,67.7,5,34426.5
"494",28,17,"Atypical","Pinguin",1136.9,69.6,8.7,37800.8
"495",28,18,"Typical","Lachs",1177.6,84.9,6,55235.6
"496",28,19,"Typical","Chamaeleon",1070.3,83.8,6.4,64361
"497",29,2,"Typical","Chamaeleon",1258.9,259.7,54.5,182714.6
"498",29,3,"Typical","Alligator",1127.3,93.7,17.2,25427.8
"499",29,4,"Atypical","Pinguin",997.8,159.5,38.3,79721.3
"500",29,5,"Typical","Falke",1020.5,50.5,7.3,29353
"501",29,6,"Typical","Hund",1021.6,88.3,26.7,46355
"502",29,7,"Typical","Pferd",1288.1,380.9,89.4,213161
"503",29,8,"Typical","Lachs",1198.3,69.5,9.8,38110.3
"504",29,9,"Typical","Loewe",1060.3,97,19,48537.4
"505",29,10,"Typical","Hai",2673.3,740.3,102.6,23361.3
"506",29,11,"Typical","Katze",1022.6,48.7,8.3,21708
"507",29,13,"Atypical","Schmetterling",2440.3,850.7,214.9,244528.6
"508",29,14,"Atypical","Seeloewe",1063.9,36.3,8.5,26492.9
"509",29,15,"Typical","Kaninchen",971.2,34.6,5.7,14851.5
"510",29,16,"Typical","Goldfisch",1132.3,170.9,35.9,81380.6
"511",29,18,"Typical","Spatz",1032.6,71.3,20.8,43497.4
"512",29,19,"Atypical","Aal",1160.9,277.4,75.1,100875.5
"513",30,2,"Atypical","Schmetterling",1084.5,77,13.8,32383.9
"514",30,3,"Typical","Spatz",1555.4,373.1,95.9,229888.1
"515",30,4,"Typical","Pferd",1163,126.5,25.4,82048
"516",30,5,"Typical","Alligator",1233.8,63.4,12.6,51928.4
"517",30,7,"Typical","Goldfisch",1030,56.4,12.1,27948.5
"518",30,8,"Atypical","Fledermaus",2189.7,895.3,423.5,462529
"519",30,9,"Typical","Hund",1024.7,31.6,5.5,21142.3
"520",30,10,"Typical","Falke",1004.9,43.2,8.8,20654.5
"521",30,11,"Atypical","Wal",2309.9,959.6,392.7,340431
"522",30,12,"Typical","Kaninchen",1260.4,191.8,40,110959.5
"523",30,13,"Typical","Lachs",1095,42.3,11.5,19021.5
"524",30,14,"Atypical","Pinguin",2045.1,854.9,221.4,450947.9
"525",30,15,"Typical","Loewe",1993.6,797.8,129.5,504927.5
"526",30,16,"Atypical","Seeloewe",2111,911,412.4,449394
"527",30,17,"Atypical","Aal",1901.2,728,145.1,418356.9
"528",30,18,"Typical","Katze",1056.5,58.7,10.6,31329.7
"529",30,19,"Typical","Hai",1385.9,144.5,32.1,22180
"530",31,1,"Typical","Klapperschlange",1052.4,108.6,14,69632
"531",31,2,"Atypical","Fledermaus",997.6,22.3,2.9,6340.3
"532",31,3,"Atypical","Schmetterling",970.9,40,5.9,15263.1
"533",31,4,"Atypical","Aal",1576.3,196.3,42.7,188628.1
"534",31,5,"Typical","Falke",1130.2,57.6,25.9,34543.6
"535",31,6,"Typical","Katze",1049.8,60.9,6.5,31445.6
"536",31,7,"Typical","Pferd",1041.5,59,12.8,30160.8
"537",31,8,"Atypical","Pinguin",1072.5,79,44.3,45586.4
"538",31,9,"Typical","Loewe",978.3,58.4,14.6,25560
"539",31,10,"Atypical","Seeloewe",1071.8,145.7,32.2,104234
"540",31,11,"Typical","Kaninchen",1700.2,296.5,33.9,269423.8
"541",31,12,"Typical","Chamaeleon",1027.1,64.5,17.5,40057.4
"542",31,13,"Typical","Spatz",1152.2,58.2,8.5,27742.8
"543",31,14,"Typical","Goldfisch",1417.2,212.1,38,196530.9
"544",31,15,"Atypical","Wal",973.7,59.1,4.3,26638.7
"545",31,16,"Typical","Alligator",1309.3,72.3,5.6,50638.9
"546",31,17,"Typical","Lachs",1018.9,53.7,3.9,26516.9
"547",31,18,"Typical","Hai",1091.1,25.6,5.4,11981.3
"548",31,19,"Typical","Hund",1072.1,91.3,15,62849.6
"549",32,1,"Typical","Katze",1110,106.4,27.9,61373.5
"550",32,2,"Typical","Lachs",1126.5,55.7,7.2,31057.4
"551",32,3,"Typical","Kaninchen",1063.7,32.8,3,19779.3
"552",32,4,"Typical","Hai",1178.7,59.1,8.3,32868.4
"553",32,5,"Typical","Alligator",1062.3,54,7.6,27423.9
"554",32,6,"Atypical","Fledermaus",2824.4,750.7,169.9,127752
"555",32,7,"Typical","Goldfisch",1188.2,45.4,3.7,24107.8
"556",32,8,"Typical","Hund",1171.4,35.8,5.8,17455.6
"557",32,9,"Atypical","Schmetterling",1193.6,39.2,5.8,31259.4
"558",32,10,"Atypical","Pinguin",3077,1001.9,456.2,247648.9
"559",32,11,"Typical","Loewe",1920.8,770,142.3,432295
"560",32,12,"Atypical","Seeloewe",1114.1,82.4,25.1,32763.7
"561",32,13,"Atypical","Wal",1048.5,31.1,7.4,20674.3
"562",32,15,"Atypical","Aal",1908.6,711.7,158.7,398011.6
"563",32,16,"Typical","Chamaeleon",1412,72.6,27.4,21642.3
"564",32,17,"Typical","Falke",1106.1,10.6,1.8,4225.2
"565",32,18,"Typical","Pferd",1223.2,79.9,9.7,48653.9
"566",32,19,"Typical","Spatz",1167,78.8,15.4,42789.5
"567",33,1,"Typical","Goldfisch",1309.4,321.1,66.7,207236
"568",33,2,"Typical","Loewe",989.7,69.4,12.9,33599.4
"569",33,3,"Typical","Falke",1208.6,50.7,8.5,19511.5
"570",33,4,"Atypical","Schmetterling",2373.9,1020.7,276.8,425017.9
"571",33,5,"Typical","Alligator",2507.6,1055.6,268.1,540075.6
"572",33,6,"Typical","Pferd",1115.3,198.2,45.4,93471.5
"573",33,7,"Typical","Chamaeleon",1242.4,64.1,4.4,37594.4
"574",33,8,"Typical","Lachs",1185.6,186.5,36.7,102584.4
"575",33,9,"Atypical","Wal",2192.2,921.7,289.3,486242.2
"576",33,10,"Typical","Kaninchen",2441.8,1039.6,264.8,588109.5
"577",33,11,"Atypical","Fledermaus",1391.9,367.8,76.6,255219.5
"578",33,12,"Typical","Klapperschlange",5449.5,1130.4,653.8,435383.5
"579",33,13,"Typical","Katze",1176.1,113.5,26.7,98588.4
"580",33,14,"Typical","Hund",1208.7,22.6,4.9,10572.7
"581",33,15,"Atypical","Seeloewe",3800.3,1074.2,412.3,-104760.6
"582",33,16,"Atypical","Pinguin",4919.4,991.9,331.3,273284.8
"583",33,17,"Typical","Hai",1099.7,61.8,9,37622.5
"584",33,18,"Typical","Spatz",2421.5,1014.7,198.8,627884.4
"585",33,19,"Atypical","Aal",1075.6,51.5,7.8,21315.3
"586",34,1,"Typical","Katze",1267.5,12.8,4.8,7043
"587",34,2,"Atypical","Aal",1094.8,86.4,21.4,48488.7
"588",34,3,"Typical","Goldfisch",5369.1,1255.2,149.5,1007983
"589",34,4,"Typical","Loewe",1077.1,54.3,14.6,32080
"590",34,5,"Typical","Klapperschlange",1056.7,114.8,25.9,39255
"591",34,6,"Typical","Pferd",1203,72.6,19.2,47508
"592",34,7,"Atypical","Pinguin",1079.9,17.5,2.3,11592.3
"593",34,8,"Typical","Chamaeleon",962,10.3,2,3659.4
"594",34,9,"Typical","Lachs",1160.8,69.9,6,40328.2
"595",34,10,"Atypical","Fledermaus",1282.5,218.3,34.2,98105.6
"596",34,11,"Typical","Hund",1400,86.8,10,56049.7
"597",34,12,"Atypical","Seeloewe",1192.9,187.9,33.1,99589.3
"598",34,13,"Atypical","Schmetterling",1142.5,79.3,19,45214
"599",34,14,"Atypical","Wal",2845.6,796.8,205.8,346997
"600",34,15,"Typical","Spatz",1034.7,111,11.4,69358.6
"601",34,16,"Typical","Hai",1332.1,136,12.2,44683.7
"602",34,17,"Typical","Alligator",946.9,62.7,14.2,25016.2
"603",34,18,"Typical","Falke",1273.1,294.5,54.5,143214.3
"604",34,19,"Typical","Kaninchen",1352.2,234.2,38.2,87325
"605",35,1,"Typical","Lachs",1001.8,45.9,11,22740.2
"606",35,2,"Typical","Kaninchen",963.5,52.2,12.2,31820.8
"607",35,3,"Atypical","Seeloewe",2498.9,840.2,294.7,168568.1
"608",35,4,"Typical","Hai",1107.6,153.1,74.2,102540.5
"609",35,5,"Typical","Hund",1081.1,87.7,18.6,57580.9
"610",35,6,"Typical","Goldfisch",1061.7,143.3,20.3,76802.1
"611",35,7,"Typical","Chamaeleon",1120.6,103.3,42.4,46448.5
"612",35,8,"Atypical","Wal",1116.2,96.6,63.8,66006.1
"613",35,9,"Atypical","Schmetterling",1137,233,57,84460.1
"614",35,10,"Typical","Spatz",1082.5,71.1,11.3,31950.4
"615",35,11,"Typical","Falke",1323.8,92.3,21.1,55411.8
"616",35,12,"Typical","Klapperschlange",1033.3,37.1,21.3,21033.9
"617",35,13,"Atypical","Fledermaus",1212.6,225.8,37.6,97430.3
"618",35,14,"Typical","Loewe",1044.9,31.3,11,13258.7
"619",35,15,"Typical","Katze",1044.6,41.4,7.8,17629.4
"620",35,16,"Typical","Alligator",1158.9,86.6,14.7,34685.1
"621",35,17,"Atypical","Pinguin",1016.2,23.5,1.7,13934.4
"622",35,18,"Atypical","Aal",988.6,21.1,3.9,7199.2
"623",35,19,"Typical","Pferd",1023.2,77.5,13.6,49403.2
"624",36,1,"Atypical","Pinguin",2339.4,943.9,158.8,336533.6
"625",36,2,"Atypical","Wal",2197.4,940.9,195.8,325138.5
"626",36,3,"Typical","Klapperschlange",2300.4,915,232.4,456667.4
"627",36,4,"Typical","Pferd",3367.4,825.4,177.2,191947.4
"628",36,5,"Typical","Hund",2290.9,799.5,218.5,506923.1
"629",36,7,"Typical","Goldfisch",2727,898,165.3,398075
"630",36,10,"Typical","Alligator",1060,75.3,11.7,38554.9
"631",36,15,"Typical","Kaninchen",1015.9,54.1,18.3,28592.6
"632",36,16,"Atypical","Seeloewe",1087,121.4,20.7,57670.2
"633",36,18,"Typical","Loewe",1259.2,172.7,10,125078.4
"634",36,19,"Atypical","Schmetterling",2114.4,889.7,393.4,504123.2
"635",37,1,"Typical","Loewe",1260.4,138.2,27.7,109941.5
"636",37,2,"Typical","Alligator",1207,131.1,17.3,81899.4
"637",37,3,"Typical","Hai",1862.4,614.8,142.6,306362.2
"638",37,4,"Atypical","Aal",1661.7,347.1,92.9,189689.4
"639",37,5,"Typical","Kaninchen",1077.6,75.9,9,57695.8
"640",37,6,"Atypical","Wal",1107.7,86.2,13.7,37908.2
"641",37,7,"Typical","Chamaeleon",1120.6,115.6,19.2,64153.5
"642",37,8,"Typical","Lachs",2570.7,1088.2,236.5,733305.5
"643",37,9,"Typical","Goldfisch",1902,768,160.4,418541.8
"644",37,10,"Typical","Pferd",1163.5,17.4,3.2,9760.6
"645",37,11,"Atypical","Pinguin",1807.5,718.9,160.4,303207.5
"646",37,12,"Typical","Hund",2064.5,738.5,141.2,553801.4
"647",37,13,"Atypical","Schmetterling",1531.6,343.8,49.8,294380.1
"648",37,14,"Typical","Falke",1117.7,99.9,8.9,63341
"649",37,15,"Typical","Spatz",2158.9,851.2,214.2,617269.5
"650",37,16,"Atypical","Fledermaus",1039.7,71,22.6,47941.5
"651",37,17,"Atypical","Seeloewe",1902.8,583.9,201.5,467120.7
"652",37,18,"Typical","Klapperschlange",1489,228.1,44.3,207682.4
"653",37,19,"Typical","Katze",2168.2,869.9,201.9,608015
"654",38,1,"Typical","Goldfisch",955.1,80.9,12.4,53189.8
"655",38,2,"Atypical","Aal",1153.6,112.8,29.9,45561.7
"656",38,3,"Typical","Spatz",1002.2,18.5,4.2,8176.6
"657",38,4,"Typical","Alligator",1037.7,174.6,29.7,118716.5
"658",38,5,"Typical","Hai",1057.5,152.7,36.5,74594.3
"659",38,6,"Typical","Lachs",1146.8,56.8,15.3,31278.3
"660",38,7,"Typical","Hund",1012.7,65.5,12.2,31807.9
"661",38,10,"Typical","Kaninchen",1030.4,80.3,12.6,40074.1
"662",38,11,"Typical","Pferd",1041.5,58.5,9,30253.6
"663",38,12,"Typical","Loewe",1002.4,76.6,9.3,34581
"664",38,13,"Typical","Chamaeleon",1051.4,36.4,2.3,12829.5
"665",38,14,"Atypical","Pinguin",2718.4,867.1,341,161022.2
"666",38,15,"Typical","Falke",1179,280.6,45.6,171900.5
"667",38,17,"Atypical","Seeloewe",1834.2,739.3,166.8,336559
"668",38,18,"Atypical","Wal",1286.9,304.1,56.8,227055
"669",38,19,"Typical","Katze",991.8,94.3,17.2,34839.3
"670",39,1,"Atypical","Aal",1068.2,61.6,5.7,25096.6
"671",39,2,"Typical","Pferd",1073.3,38.5,5.4,17126.4
"672",39,3,"Typical","Kaninchen",1071.2,65.8,9.8,31605.9
"673",39,4,"Typical","Goldfisch",1094.6,59,14.6,29346.9
"674",39,5,"Typical","Hai",1140.4,122.6,7.8,85934.3
"675",39,6,"Typical","Lachs",1107.6,87,10.3,40167.1
"676",39,7,"Atypical","Fledermaus",1698,136.2,33.9,24728.7
"677",39,8,"Atypical","Wal",1041.3,96,10,67653.5
"678",39,9,"Typical","Falke",1183.3,235.9,24.9,155564.5
"679",39,10,"Atypical","Pinguin",1624.8,314.1,24.3,222368.7
"680",39,11,"Typical","Loewe",1181,43.6,5.1,26465.3
"681",39,12,"Typical","Klapperschlange",3619.3,878.5,291,170947.6
"682",39,13,"Typical","Chamaeleon",1197.5,117,20.5,78328.3
"683",39,14,"Atypical","Schmetterling",1168.8,84.3,10.6,33471.5
"684",39,15,"Atypical","Seeloewe",1179.6,76.9,23.4,33743.7
"685",39,16,"Typical","Katze",1267.9,132.8,24.3,73163.7
"686",39,17,"Typical","Hund",1105.7,75.5,10.1,45417.8
"687",39,18,"Typical","Alligator",1591.5,149.2,15.4,148893.5
"688",39,19,"Typical","Spatz",1090,25.9,2.6,16125.5
"689",40,1,"Atypical","Wal",3147.3,851.5,434.6,105891
"690",40,3,"Typical","Klapperschlange",1758.3,504.5,85.4,208142.5
"691",40,4,"Typical","Spatz",1930.3,630.8,107.8,270007.8
"692",40,5,"Typical","Loewe",1186.7,320.1,98,145562
"693",40,6,"Typical","Chamaeleon",1239.6,121.4,29.7,37432.2
"694",40,7,"Atypical","Aal",1140.1,264.7,104.4,127903
"695",40,8,"Typical","Hai",2813.7,804.7,161.1,49937
"696",40,9,"Typical","Pferd",1359.9,310.8,63.6,172957.2
"697",40,10,"Atypical","Schmetterling",1355.6,295.7,76.1,150587.4
"698",40,11,"Typical","Alligator",1026.4,51,3,26448.3
"699",40,12,"Typical","Falke",1147.2,35,4.8,16895.1
"700",40,13,"Atypical","Seeloewe",977.8,93.5,27.7,41668
"701",40,14,"Typical","Goldfisch",1446.2,217.9,34.9,126013.5
"702",40,15,"Typical","Hund",1081,180.4,40.9,127607.5
"703",40,16,"Atypical","Pinguin",1074,139.3,22.2,46887.4
"704",40,17,"Typical","Kaninchen",933.2,51.2,18.8,26179.6
"705",40,18,"Typical","Katze",1003.4,125.3,26.4,67497.5
"706",40,19,"Typical","Lachs",1315.9,418.8,124.3,202005.9
"707",41,1,"Typical","Falke",1204.3,92.9,20,58831.1
"708",41,2,"Atypical","Aal",957.4,37.5,9.6,15289.4
"709",41,3,"Typical","Chamaeleon",1897.2,359.4,116.3,53169.4
"710",41,4,"Typical","Katze",985.9,45.6,7.7,20518.2
"711",41,5,"Typical","Pferd",1078.4,53,11,27842.7
"712",41,6,"Typical","Goldfisch",1072.3,74.8,12.4,57179.5
"713",41,7,"Atypical","Seeloewe",1027,156.9,24.9,69495.5
"714",41,8,"Typical","Loewe",2023.9,802.7,156.3,318231.5
"715",41,9,"Atypical","Schmetterling",1132.6,60,6.2,40670.1
"716",41,10,"Atypical","Fledermaus",2286.7,897.8,193.8,287612.7
"717",41,11,"Atypical","Wal",2160.7,760.7,145.1,219465.1
"718",41,12,"Typical","Hai",2198.2,924.9,306,479694.5
"719",41,13,"Typical","Hund",1136.9,128.9,20.3,85929.6
"720",41,14,"Atypical","Pinguin",1044.3,122.1,44.3,42445
"721",41,15,"Typical","Klapperschlange",1072.5,34,4.6,13786.5
"722",41,16,"Typical","Alligator",1191.9,229.7,82,107347.5
"723",41,17,"Typical","Kaninchen",947.7,25.1,4.1,9524.5
"724",41,18,"Typical","Lachs",1070.1,25.3,3.6,13108.9
"725",41,19,"Typical","Spatz",1954.5,691.1,117,359148.1
"726",42,2,"Typical","Kaninchen",1010,90,20,48757.5
"727",42,3,"Atypical","Fledermaus",2335.6,964.2,290.4,503947.2
"728",42,4,"Typical","Falke",1009.8,55.5,10.1,25233.1
"729",42,5,"Atypical","Pinguin",2086.8,868,353.6,415062.5
"730",42,6,"Atypical","Schmetterling",1166.4,38,7.7,20580.4
"731",42,7,"Typical","Chamaeleon",1035.9,30.2,3.4,14688.3
"732",42,8,"Typical","Hai",2012.7,834.5,165.1,416075
"733",42,9,"Typical","Goldfisch",1149.3,71.7,10.6,40790.3
"734",42,10,"Typical","Katze",1031.8,59.4,11.5,30428.5
"735",42,11,"Typical","Pferd",2059,649.6,118.7,391471.1
"736",42,12,"Typical","Lachs",1350.6,377.6,61.5,209224.8
"737",42,13,"Atypical","Seeloewe",1741.5,611.5,75.1,342833.1
"738",42,14,"Typical","Alligator",1314,294.7,90.8,166096.7
"739",42,15,"Typical","Spatz",2045.9,855.5,245.7,374263.1
"740",42,16,"Typical","Hund",1031.7,98.1,16.2,53438.1
"741",42,17,"Typical","Loewe",1149.2,75.3,9.5,43079.1
"742",42,18,"Atypical","Aal",1083.2,66.6,9.4,39147.6
"743",42,19,"Atypical","Wal",2074.5,872.3,339.6,481577.5
"744",43,1,"Typical","Hund",1046.2,145.3,41.6,64918.5
"745",43,2,"Typical","Katze",1398.4,386.2,59.5,135225.5
"746",43,3,"Typical","Chamaeleon",1108.4,104.1,17.4,54404.1
"747",43,4,"Atypical","Aal",1032.8,46.6,8.9,26999.3
"748",43,5,"Atypical","Wal",1778.6,652.2,270.5,233593
"749",43,6,"Typical","Goldfisch",1037.5,79,9.7,29279.4
"750",43,7,"Typical","Falke",992,76.9,15,44876.1
"751",43,8,"Typical","Loewe",1115.9,25.9,3.6,16337.7
"752",43,9,"Typical","Spatz",1122.5,21.3,4.2,7840.8
"753",43,10,"Typical","Klapperschlange",1014,30.9,4,16547
"754",43,11,"Typical","Hai",981.6,12.6,1.1,5582.2
"755",43,12,"Atypical","Schmetterling",990.3,43.6,9.8,22040.2
"756",43,13,"Atypical","Pinguin",1021.2,29.9,1.4,15442.2
"757",43,14,"Typical","Alligator",934.8,9,1.5,4270.7
"758",43,15,"Typical","Pferd",1033.2,67.6,13.2,31940.9
"759",43,16,"Atypical","Fledermaus",1013.6,38.8,3.6,15690.2
"760",43,17,"Typical","Lachs",1121.7,97,22.2,12196.8
"761",43,18,"Atypical","Seeloewe",1041.1,31,10.3,19799.6
"762",43,19,"Typical","Kaninchen",1030.2,82.5,7.8,51828.8
"763",44,1,"Typical","Falke",1034,113.8,17.7,75396.5
"764",44,2,"Typical","Pferd",1271.9,178.7,32.2,126503.9
"765",44,3,"Typical","Kaninchen",1191.9,171,22.9,73736.5
"766",44,4,"Typical","Spatz",1321.8,274.4,91.1,225542
"767",44,5,"Typical","Loewe",1184.4,253.7,58.7,154441.4
"768",44,7,"Typical","Goldfisch",1111.4,64.8,16.5,30671.5
"769",44,9,"Typical","Katze",1049.8,65.5,13.2,29569.5
"770",44,10,"Typical","Chamaeleon",1164.7,145.4,51,85861.2
"771",44,11,"Typical","Hund",1005.5,23.8,3.8,11169.7
"772",44,12,"Typical","Alligator",1405.6,165.5,27.7,156687
"773",44,13,"Atypical","Schmetterling",1085.4,155.6,22.1,109979.5
"774",44,15,"Atypical","Seeloewe",1254.7,54.5,22.1,40463.5
"775",44,16,"Atypical","Fledermaus",1265.7,207.6,39,113923.5
"776",44,17,"Typical","Klapperschlange",1130.1,53.2,7.8,26441.6
"777",44,18,"Atypical","Aal",1142.6,73.3,6.3,17259.2
"778",44,19,"Typical","Lachs",1123.7,55.3,12.3,35985
"779",45,1,"Typical","Pferd",1055.5,27.7,2.8,13015.9
"780",45,2,"Typical","Hai",1124,84.5,6.5,50594
"781",45,3,"Typical","Chamaeleon",1127.4,70.2,5.3,30985.6
"782",45,4,"Typical","Falke",1105.6,63.6,4.6,32249.2
"783",45,5,"Typical","Hund",1096.7,64.2,8.7,29913.1
"784",45,6,"Typical","Alligator",1272.6,35,6,20091.5
"785",45,7,"Typical","Loewe",1098,10.7,1.2,5362.3
"786",45,8,"Atypical","Wal",1080.3,47,7.4,31860.4
"787",45,9,"Typical","Lachs",1063.7,8.2,0.9,4656.4
"788",45,10,"Atypical","Aal",1182.1,82.4,8.5,43636.5
"789",45,11,"Atypical","Fledermaus",1203.7,90.3,8.6,58186
"790",45,12,"Typical","Goldfisch",1090.8,72.1,6.8,35781.2
"791",45,13,"Typical","Klapperschlange",1111,16.1,2.4,9925.9
"792",45,14,"Atypical","Seeloewe",1162.9,61.4,5.6,39943.6
"793",45,15,"Atypical","Schmetterling",1127.3,61.1,5.7,38316.7
"794",45,16,"Typical","Spatz",1031.7,67,10.3,41000
"795",45,17,"Typical","Kaninchen",1117.4,43.2,8.6,37408.8
"796",45,18,"Atypical","Pinguin",1143.6,30.4,2.9,19888
"797",45,19,"Typical","Katze",1124,60.1,10.7,28829.7
"798",46,1,"Typical","Katze",1079,76.3,6.6,26624.4
"799",46,2,"Typical","Falke",1097.5,57.7,3.7,29841.4
"800",46,3,"Typical","Hai",1165.1,100.2,24.4,34827
